Series Number,Filename,Name,Description,Gender,Attributes,UUID,Sha256
158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river,male,Hair: orange and cream cap. Eyes:none . Teeth:none . Clothing: orange and blue denim. Accessories:none . Expression: Unbothered . Strength:none . Weakness:none .,66a09968-cb92-4378-a588-49947f68c537,06e871e6991e1505c994ced4e08f6a811e8d4cea0ae161a8acc054b78071d04a
159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa,Male,Hair: Blue cap. Eyes: none. Teeth: none. Clothing: Green top with overall. Accessories: none. Expression: . Strength:none . Weakness:none.,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,a16596a34380ac81d44c46e55802f0300c24195d72c97a327d8a9618f11203d2
160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings,Male,Hair: Red hair. Eyes: none. Teeth:none . Clothing: White top with blue overalls . Accessories:none . Expression: High. Strength:none . Weakness: none.,b07676a6-c611-410d-8426-46c9c525189a,9bfc11b0486953b56ca4aa899d2a0e11931fd5b16706c412ce8aa66c81ceac69
,,,,,,,63b217212c7c89983e22d527a53dfdfb369f1bce905ec1065e442fa9c320eb84
TEAM HEADLIGHT,,,,,,,a7b4ea4b77998dc7e9071ddee389314ee1f02b403550f30140bb65dc8aac40ef
161,funmi-the-fashionist,funmi the fashionist,funmi enjoys fashion and she always takes opportunity to showcase her wardrobe,Female,"hair: black hair, eyes: none, teeth: none, clothing: aso oke, expression: cool, accessories: head tye and eye glasses, strength: fashion, weakness:men",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,a522f86f97832e1ae3d5f69cb0f864d070474c238f249f599ff98e180972aecb
162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows,Female,"hair: Purple shuku, eyes: none, teeth: none, clothing: adire top, expression: neutral, accessories: eye glasses, strength: caring, weakness: snake",ac721b71-cbc5-425c-851f-ee826973f0b9,768c0586b488717164c5082c2c4940b179e8109fef5175051ced1856a1849fce
163,bimpe-the-runzgirl,bimpe the runzgirl,"be careful with bimpe, she can run you strong thing",Female,"hair: Purple dreadlock, eyes: none, teeth: none, clothing: one arm ankara, expression: mischievious, accessories: eye glasses, strength: humanitarian, weakness: opposite sex",eaa7662f-6926-468a-9add-e791916ae42b,c9d94f706d3869c5503ad0aaa2ed2ff34a4a57e3754391a4b41520109c6e3f80
164,sola-the-queen,sola the queen,sola is a princess. she's got the mind of a queen,Female,"hair: brown long hair, eyes: none, teeth: none, clothing: blouse top, expression: cool, accessories: eye glasses, strength: Strong character, weakness: beauty",d5f23ad3-832a-4d3e-814e-e23f466d18a4,cc7bfc013e6a5d50f8472c9e7478b56822f96092f539228968c559e6495cb47a
165,temi-afro-girl,temi afro girl,"temi is know for her funny haircut. this time, afro is up",Female,"hair: orange full hair, eyes: none, teeth: none, clothing: ankara, expression: cool, accessories: eye glasses, strength: loving, weakness: sheepish",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,9c439a87b37e4a06c19ceb28952f813071ea24e7635c5fb01c11128b1b7b857d
166,jonny-the-bravo,jonny the bravo,jonny is our local police. he breaks boys free,Male,"hair: orange pink, eyes: closed, teeth: candy in mind, clothing: igbo attire, expression: relaxed, accessories: candy in mouth, strength: helping people, weakness: hastly rash",2b345988-b4b0-453b-ad39-efe1321bc8f1,b8e1eb6cee40d14c0c2095d7c434dbf2062c226e9c56d6fb33d2f7f79e41d677
167,tunde-the-bigman,tunde the bigman,tunde is the big man on the street. flamboyant life style is his identity,Male,"hair: none, eyes: closed, teeth: white with one tooth missing, clothing: agbada, expression: resting, accessories: head wear, strength: money, weakness: monkey",56db423e-8b09-453e-b5fc-61f4da9d7a6f,af4ca97785f0c993b46ee54b0860bca6e6877b69308895e859760aafa94b244e
168,joe-the-plain,joe the plain,plain and simple. no one in town is more gentle that broda joe,Male,"hair: none, eyes: watery blue eye, teeth: tongue out, clothing: agbada, expression: happy, accessories: face cap, strength: handling situation, weakness: overthinking",7a3083bd-5aa2-48b5-a30b-4445cc060f57,c7d96748fb30b621c05130c4616851b41063b4505f00df96a700313347631903
169,wale-sharp-guy,wale sharp guy,wale no de carry last. the thinks and act fast,Male,"hair: none, eyes: closed, teeth: white with a tooth missing, clothing: agbada, expression: fearful, accessories: blue head scaf, strength: smart, weakness: too forward",44906ea0-901b-4b3d-802f-f73acc8758f6,987b536c91f6f5a1c2dcfff2ce318c1abb41a4cf3f2162fab52109f0f85889cc
170,dele-the-snoozer,dele the snoozer,"if sleeping were to be a job. dele will be the world busiest man. set a bed in a fury furnace for dele, he'll sleep.",Male,"hair: low cut, eyes: closed, teeth: gapped teeth, clothing: agbada, expression: snoozing, accessories: none, strength: loving, weakness: sleep",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,e460ec8b6dd9e13be61b3328df81f1518a87be427155e8531fe5840222add4b9
171,father -of -tolu,father of tolu,baba tolu is a proud father. he will sell his soul just to see tolu excel in life,Male,"hair: none, eyes: black iris, teeth: long front tooth, clothing: ankara, expression: fearfully, accessories: head cap, strength: fatherly, weakness: women",a2651258-ca3f-4940-b095-3a61ff630263,8998d2fa0e8e6e7acd64d312be72c6402444e9b278d67b824581f79696c95d46
172,emeka-the-chief,emeka the chief,chief emeka is the pillar of the community. just and fair to all. the real mazi,Male,"hair: none, eyes: black iris, teeth: full white teeth, clothing: wrapper wrapped around body, expression: smiling, accessories: head cap, strength: leadership, weakness: anger",de25fd63-dafd-4f77-8072-7ac0ae3a3ab2,b09c652a7d94a7954fde47a8268a5d2f7a7c99d8bd572a105cf9d9613c9d40ec
173,lawal-the-drooler,lawal the drooler,"lawal has only 2 business, alcoholism and alcoholism. it's only normal for him to drool afterll",Male,"hair: none, eyes: teary grey iris, teeth: gapped teeth, clothing: agbada, expression: sleepy, accessories: head wear, strength: rich, weakness: alcoholism",806b640f-1c8b-4cc0-aa10-45f3ddc00140,961c2a2d5442d179e42bd757c1bc2fc44b1736e5b4ed9e0b7f0252f3732e1f91
174,solo-the-messenger,solo the messenger,"solo is a multitasker. you need anything done in your home, solo is your guy",Male,"hair: none, eyes: black eye, teeth: stained tooth, clothing: simple top, expression: relax, accessories: cap, strength: multitasking, weakness: women",44906ea0-901b-4b3d-802f-f73acc8758f6,d3cf1bcc5c693700190e43dcee86b04900d7ca8df54072e8eb7a9ff6b47eae1f
175,femi-the-honorable,femi the honorable,honorable femi is the modern day politician. everything he does is only to further his political career,Male,"hair: none, eyes: blue iris, skin color: brown, teeth: one missing tooth, clothing: aso oke, expression: happy, accessories: abetiaja cap, strength: public speaking, weakness: money",af53bf52-b517-4347-adc6-07cf30c19025,dc191a68de79e8427dc82da82c34eb825311758ac7a8741d8aa1bf0571fbe93c
176,friday-the-bigsboy,friday the bigsboy,friday always live up to his name. every friday is for the party.,Male,"hair: orange afro, eyes: black iris, skin color: brown, teeth: none, clothing: aso oke, expression: unconcerned, accessories: cigrette in mouth, strength: money in pocket, weakness: sense of responsibility",05ec3aae-7da8-4125-93fb-6fc544e5bc61,da432f9d384acd183c3c9e4c9ec636e84752e8edb246b17518723ea0b3000213
177,kweku-the-planter,kweku the planter,kweku says he did it. kweku dey plant Igbo until he was bursted,Male,"hair: none, eyes: closed, teeth: none, clothing: aso oke, expression: smiling, accessories: head wear, strength: industrious, weakness: criminally minded",af53bf52-b517-4347-adc6-07cf30c19025,e6d79dcbba929cb28ddb4db36fe9a4f9187abc6b86365ebb33dae6496fffae3f
178,2pac-the-remix,2pac the remix,2pac is alive in him. his style is exactly the same. upcoming artist,Male,"hair: none, eyes: blue iris, teeth: gapped teeth, clothing: Igbo clothing, expression: surprised, accessories: face cap, strength: hardworking, weakness:fear",9993e5ec-2f31-485c-9c6d-f780c078ae56,96ab3d0b6a5c2e3986bbe708992371535fa38607fded5ec1fd2e545e05335c69
179,tope-the-influencer,tope the influencer,tope is a famous influencer. loved by his followers which keep growing everyday,Female,"hair: none, eyes: black iris, teeth: none, clothing: agbada, expression: tired, accessories: tied head scaf, strength: Influencing people, weakness: talk too much",3b3e1f66-922b-4f87-8cdb-0d09fc143182,202a8b8e09f50781386cd30844b15eff816478120ebf4321c02b75a76b5efd54
180,gabby-the-evangelist,gabby the evangelist,"evangelist Gabby, blending gospel with comedy. he's going places",Male,"hair: pink hair, eyes: black iris, teeth: none, clothing: agbada, expression: happily surprised, accessories: none, strength: make people happy, weakness:misleading",ac721b71-cbc5-425c-851f-ee826973f0b9,6291f562aefc20e73a63f4b5eaadd9a9b56da80bfa71b0b356ec17944c059c2a
,,,,,,,fdf1af96a27a3b4e058087439662df783ee8d17bf78cb400b2deb1fe702e4bb3
TEAM CRANKSHAFT,,,,,,,209239ee50df51114cb42c9e2f9433daa8a593f4dc9c05bad3deeab7a339c88b
181,beauty-of-town,beauty of town,She is the most beautiful in the neighbourhood,Female,"hair:Pitch, Eyes: blue. Teeth: None. Clothing: Top Accessories: Bow-Tie. Expression: strengths: powerful, weakness: sentimental",7241a1be-59da-11ed-9b6a-0242ac120002,42c6bb7cb964f4eaacbedc9dbebe9c495f8ab2c7a61ba73567da118a7e77aa98
182,lola-babe,lola babe,Looking hot as always,Female,"hair:brown, Eyes: Blue. Teeth: None. Clothing: Aso-oke  Accessories: none. Expression: Happy,strengths: calculative, weakness: misleading",7241a664-59da-11ed-9b6a-0242ac120002,4be7104600c3f601118822356d4f88d4c7570edf99d64a9ec85687647eca2aa7
183,cardy_h-sharp-babe,cardy h sharp babe,Cardy is the sharpest amongst her friends,Female,"hair: two brown bun, Eyes: Blue. Teeth: none. Clothing: Yoruba-Clothing(Aso-oke). Accessories: none. Expression: strengths: free spirit,Lack of Fear,Confidence: weakness,:misleading,influencing people ",7241a7c2-59da-11ed-9b6a-0242ac120002,79569061cdb3f49ee8da9d288d8a01be92aeffe526ab1f47d2c4077aa0870ac4
184,bella-the-baller,bella the baller,Baller for Life,Female,"hair: Brown, Eyes: Blue. Teeth: none. Clothing: Igbo-Clothing Accessories: none. Expression: Determined.strengths: adaptation, weakness: fluency",7241ad26-59da-11ed-9b6a-0242ac120002,05f35da056cfe58f142017f26d875aecfee34ac876b525fd48d940fd62dc6468
185,milly-of-roses,milly of roses,Her lips so red like a rose,Female,"hair: beige, Eyes: Blue. Teeth: none. Clothing: Black-Top. Accessories: none. Expression:strengths: cool headed, weakness: pressure",7241af92-59da-11ed-9b6a-0242ac120002,4171e21d1afb60633764675c69c219ba34fd6281e53f3b979d7be6635dbd2dd9
186,Preciousjada-the-viper,Preciousjada the viper,Her words stings likes a viper,Female,"hair: ginger afro, Eyes: blue. Teeth: white Teeth. Clothing: Aso-oke.  Expression: Strong-Willed. strengths: confidence, weakness: endurance",7241b12c-59da-11ed-9b6a-0242ac120002,5318dc9de62bf805dac86c616f78c5b3b21b90b1530f4fc8f8ec844ec55b89d9
187,lolly-of-NY,lolly of NY,Most popular in NY,Female,"hair: purple braids, Eyes: Black. Teeth: none. Clothing: Black and Blue Top. Accessories: none Expression: Calculative strength: strong willed, weakness: relationship",7241b2ee-59da-11ed-9b6a-0242ac120002,b09020a39dffad5abad60e199c59dafb3a384b103f75a877d3d1a0e32743e9cb
188,Disy-the-dancer,Disy the dancer,Dances her way into any show,Female,"hair: Black Hair tied with Scalf, Eyes: Black. Teeth: none. Clothing: One-arm top. Accessories: none. Expression: Bad girl vibes. strength: cleaniness, weakness: perfectionist",7241b4c4-59da-11ed-9b6a-0242ac120002,a1d4614ff73fa8eafb678bd41c1b079c13419da829ec75d3b4d3e3219068cc18
189,Jenny-the-great,Jenny the great,The greatest of our time,Female,"hair: black tied with scalf, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: badass weakness: cancer",7241b852-59da-11ed-9b6a-0242ac120002,0a010bbb2d369c43fc69a1b14ebd4bfca61dac48f403e07216df1a88f76c1ce4
190,lolly-the-pop,lolly the pop,Seeing lolly makes me pop,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: peaceful weakness: anger",7241ba00-59da-11ed-9b6a-0242ac120002,86e0651fc4f2be270be70d586d1efde47f7092d373c17ca079e41369a7ee8d46
191,disy-the-queen,disy the queen,The queen in her own space,Female,"hair: one bun dark brown, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: beauty, weakness: lover girl",7241bda2-59da-11ed-9b6a-0242ac120002,583f133d5d6ee86829e74312fe3d5ed70131249f211c469236ba308318a912f7
192,JennyP-of-Lagos,JennyP of Lagos,A well known celebrity in Lagos,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: super powerful, weakness: sleeping",7241bf1e-59da-11ed-9b6a-0242ac120002,c85932ac240809e8fdc3bb9af28abac6408bd9b5cc8fce1b4c3aee01263d6745
193,Jada-of-life,Jada of life,Her business signature,Female,"hair: male, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: calm weakness: sun",7241c202-59da-11ed-9b6a-0242ac120002,d9f739c210b25f948a3c34902ada37603cf00bc666e49146d9eedc0e2587e5c6
194,Sandy-the-rapper,Sandy the rapper,She just loves to rap,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: clean weakness: foodie",7241c342-59da-11ed-9b6a-0242ac120002,1808c1e1e28c434fe20227e9276e85f5dbdb91c0edc457b64c7e6198366e12c4
195,Dahila-the-genius,Dahila the genius,The genius in the family,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: activist, weakness: irrational",7241c4fa-59da-11ed-9b6a-0242ac120002,8795ec1b60be720266b361e76648f8c35d21eb08f869d63bc7141950901a9977
196,Rosemary-of-Yaba,Rosemary of Yaba,She has a cloth store in Yaba,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: mind games, weakness: insomia",7241c61c-59da-11ed-9b6a-0242ac120002,2b0064454058210d8feb6017d8b6ab70a302412f354facffa2ef0bef10266fbc
197,Jennifer-of -island,Jennifer of island,She goes on vacation to the island,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: strong , weakness: lateness",7241ca18-59da-11ed-9b6a-0242ac120002,4d9edbf894d3116fac44ca252acee8ca6307c1ca14d98b4d9dcb3a42eb0f7f93
198,Opeyemi-of-lekki,Opeyemi of lekki,Opeyemi lives in lekki,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: conversationist, weakness: traditionalist",7241c8e2-59da-11ed-9b6a-0242ac120002,d7855e300392d26774d36dd719b847c2d118193486302bcd1d12b596b50101c9
199,Vicky-the-artist,Vicky the artist,Brings life into what she draws,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: strong willed, weakness: crying",7241cb3a-59da-11ed-9b6a-0242ac120002,dc865f8b54f2af260dd4608bdff61da818c9f05b1cc55cea0738bd6b341b541f
200,Afrogirl-sailor,Afrogirl sailor,She loves to sail the ocean,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: height,  weakness: pride",7241cc66-59da-11ed-9b6a-0242ac120002,c3ea8948433d56cbbd4819e63966bedd37b6ee3869664988d43f65083de8d1f7
,,,,,,,481cd633dbe433dd2cb6cfe2c31b310b95dca75d74b805cd6e2fb18aaf28f200
TEAM GEAR,,,,,,,60fb08728e5902d985bfb48094d527ccdbb1b7ac8b012e61f7f253975557e9a7
201,Ahmed-the-merchant,Ahmed the merchant,A rich merchant that sells in babylon,male,"hair: none, eyes: closed, teeth: none, clothing: one-hand, accessories: none, expression: smiling, strength: business, weakness: alcohol",bfb62844-59ca-11ed-9b6a-0242ac120002,ed6770c726373477fe6f62adb5c579367c59eb7812dc3cd8b1278d17c08ee489
202,Blind-Tonia,Blind Tonia,A girl that lost one of her eyes in a street fight,female,"hair: brown, eyes: one, teeth: none, clothing: blouse, accessories: none, expression: none, strength: smiling, weakness: none",bfb62c86-59ca-11ed-9b6a-0242ac120002,597d94cbd18e44c9a889c735f6a7dd88d35bb3116833e750207b134c7796756f
203,Buffy-the-vampire,Buffy the vampire,A vampire diary protagonist that got bitten by a vampire in real life,female,"hair: none, eyes: small, teeth: two, clothing: shirt, accessories: none, expression: none, strength: biting, weakness: none",bfb62e02-59ca-11ed-9b6a-0242ac120002,4f1776ecb9929cd0d68f6d09e1f27856ea30e5f42537a70b150699c7ff896055
204,Caro-lipstick,Caro lipstick,"A girl that puts on lipstick always, even to bed",female,"hair: brown, eyes: glasses, teeth: none, clothing: blouse, accessories: none, expression: sazzy, strength: none, weakness: none",bfb62f4c-59ca-11ed-9b6a-0242ac120002,2d4c43a38c5a6d381cc610248b34984dfa129d67960f1c5a09c9932f8d5aa93f
205,Charity-the-maid,Charity the maid,A maid that works for the fun of it,female,"hair: brown, eyes: blue, teeth: smoke, clothing: blouse, accessories: none, expression: none, strength: none, weakness: smoking",bfb63096-59ca-11ed-9b6a-0242ac120002,4999f432f0202f448b7b30cf4ba77f92423a0f4b4d6d21d8d61edc48a87c863e
206,Charity-with-fakehair,Charity with fakehair,A girl with a bald hair but always wears wig to cover her head,female,"hair: orange, eyes: glasses, teeth: none, clothing: blouse, accessories: normal, expression: none, strength: none, weakness: barbing-saloon",bfb631c2-59ca-11ed-9b6a-0242ac120002,f729d70d50e34a84e088c7f9a1ff49d1afc040920f01746b972546f2abc22189
207,Daniel-the-hustler,Daniel the hustler,A boy that lives in the streets of Lagos hustling everyday to make ends meet,male,"hair: none, eyes: black, teeth: none, clothing: shirt, accessories: gang, expression: smiling, strength: hustling, weakness: alcohol",bfb632e4-59ca-11ed-9b6a-0242ac120002,3a6d141e3325d59fd3feb02bc8f2ec48736c53043b19e53c03c740d86f982e55
208,Grandma-Nanny,Grandma Nanny,A grandmother that does nothing but sleeps all day,female,"hair: white, eyes: blue, teeth: none, clothing: blouse, accessories: fashion, expression: smiling, strength: design, weakness: none",bfb63406-59ca-11ed-9b6a-0242ac120002,cae5b0a49eb62116a59829133fc947a9da76d0cb41406ec1c5e1546657f5e786
209,Granpa-Willy,Granpa Willy,A grandfather that drinks beer and reads newspaper all day,male,"hair: white, eyes: black, teeth: none, clothing: shirt, accessories: fashion, expression: smiling, strength: reading, weakness: drinking",bfb6380c-59ca-11ed-9b6a-0242ac120002,484e23804771afa67c0c1de8b131e64e537bec253ca64df04777dc44b70490d5
210,Joshua-gang-leader,Joshua gang leader,A boy born to ritualist parents and now runs his own gang,male,"hair: brown, eyes: black, teeth: gold, clothing: shirt, accessories: ponk, expression: suspicion, strength: none, weakness: none",bfb63956-59ca-11ed-9b6a-0242ac120002,5462aaee9f65d03a491e4a18915ee1c88074439c86dcb2a2deefb5770d43bf71
211,Karashika-queen,Karashika queen,A woman of the underworld that influences rich men into giving up their money,female,"hair: white, eyes: glasses, teeth: none, clothing: blouse, accessories: fashion, expression: none, strength: design, weakness: boys",bfb63a8c-59ca-11ed-9b6a-0242ac120002,8f63463de08c0a6f0eb6b71011459a9adadeb656020377ff7c8fc37ee8f44098
212,King-of-baldmen,King of baldmen,A man that was born bald and has never seen a hair on his head,male,"hair: cap, eyes: black, teeth: none, clothing: shirt, accessories: fashion, expression: smirk, strength: deceit, weakness: none",bfb63c62-59ca-11ed-9b6a-0242ac120002,797ce36d3992d918d5910696d837c0178d48c6d36b392cc8b76d5faf7bcae94d
213,Musa-masked-mouth,Musa masked mouth,Musa uses a tape to cover his mouth to prevent him from talking too much,male,"hair: cap, eyes: closed, teeth: none, clothing: shirt, accessories: fashion, expression: none, strength: dressing, weakness: none",bfb63db6-59ca-11ed-9b6a-0242ac120002,887e83add7e001efd550ca96d2446272d2e1145c6975267ed4cde76b831c6943
214,Queen-of-smokers,Queen of smokers,A chronic smoker looking for a spouse that will join her to die of smoking,female,"hair: brown, eyes: glasses, teeth: smoke, clothing: blouse, accessories: none, expression: none, strength: none, weakness: smoking",bfb63ee2-59ca-11ed-9b6a-0242ac120002,5e4f5bd76d791ddc7a9b6b54c6ac614ba5ee2b15dec1c1917c7a261caa704bf0
215,Redlips-man,Redlips man,A man that kissed a woman and got his lips burnt,male,"hair: brown, eyes: blue, teeth: none, clothing: shirt, accessories: none, expression: frown, strength: chewing, weakness: none",bfb64004-59ca-11ed-9b6a-0242ac120002,e2c68f89b5477f66d11ebe421ec48c6925fc240b2873d9acc0e276702e23623f
216,Sleevless-maid,Sleevless maid,A girl that nevers wears long cloths and gets herself thrown out of churches for indecent dressing,female,"hair: white, eyes: blue, teeth: none, clothing: shirt, accessories: tan, expression: none, strength: seduction, weakness: none",bfb64338-59ca-11ed-9b6a-0242ac120002,563be5f5dcdb4b7e3077e28d0d7b2848db321777e3a09b084a42113efbdfc1ef
217,Stephen-bluecap,Stephen bluecap,Stephen always wears blue cap even to the church,male,"hair: cap, eyes: black, teeth: none, clothing: shirt, accessories: fashion, expression: smile, strength: kindness, weakness: none",bfb6446e-59ca-11ed-9b6a-0242ac120002,820e3481f181405207bbd4b31865b9bf472ccb1b2e432631951d3f753596eed5
218,Tinubu-gateman,Tinubu gateman,Tinubu has been a gateman all his life. He was born to a gateman and his child will be a gateman,male,"hair: cap, eyes: blue, teeth: tongue, clothing: shirt, accessories: fashion, expression: laugh, strength: laughter, weakness: none",bfb645a4-59ca-11ed-9b6a-0242ac120002,47889e73dbeb52fb70bbb2f82699083a36ac7eef8dec027292ba0ce76726738c
219,Vampire-girl,Vampire girl,She dresses up as a vampire every haloween,female,"hair: puff-puff, eyes: blue, teeth: two, clothing: blouse, accessories: none, expression: bite, strength: biting, weakness: none",bfb64752-59ca-11ed-9b6a-0242ac120002,435d8aebc29d3fb33ad78c9da3965ef9ce7cec4cbfb560e9526f7cbab91e6aa1
220,Yusuf-the-smoker,Yusuf the smoker,A chronic smoker with damaged lungs,male,"hair: cap, eyes: dark-brown, teeth: smoke, clothing: shirt, accessories: fashion, expression: smile, strength: dressing, weakness: smoking",bfb648d8-59ca-11ed-9b6a-0242ac120002,845af8df5f5726238a270f8d0008771e2b554ef5289ec2c17331879a4e58fd83
,,,,,,,96384b386d71f34bb350514f260160a610461440bafc8a2786879e7c3dc2e2b6
TEAM TAPE,,,,,,,e25624ffcce26ce02dd533b079bdeedde9f67ea892a8ebd38e76193eec015f98
221,hng-newbie,hng newbie,A confused hng participant that cannot understand her project,Female,"Hair: brown. Eyes: white . Teeth: white  . Clothing:ankara . Accessories: none. Expression: surprised . Strength: none. Weakness:confused, disorganised .",0ddbd22c-b3bb-4c72-9f51-0361480bbfa7,30c1be441b8a940c233a193052f8dcc43d2809dad67cf5b64dcc882c8a1ca76e
222,nene-caroline,nene caroline,A housewife that loves taking care of her family,Female,"Hair: brown. Eyes: white . Teeth: none. Clothing:ankara . Accessories: none. Expression: calm. Strength:loving, relaxed . Weakness: novice.",4ce5bcf3-d4ed-4277-8187-cb1797c1ac7e,9d919e13ea95cab02f3751eb430d5d993c7cf3124183e516734f4cb9e8c25f91
223,wazo-partystopper,wazo partystopper,A Nigerian aunty that loves to attend owambe parties,Female,Hair:black . Eyes: white. Teeth: none. Clothing: aso oke . Accessories: none. Expression: proud. Strength:energetic . Weakness: none.,77237cce-bae0-4d60-adad-27055f0eed39,edffa48ca444609a99d13219c0324589416331fb0c3e93605ff264d84f09da8e
224,melanin-janet,melanin janet,A young lady with a soft personality,Female,Hair: brownish pink. Eyes: white. Teeth:none . Clothing: english-ankara. Accessories: none. Expression: none . Strength: calm. Weakness: none.,a5a2854e-a850-4b15-b3c3-176a79b2d34b,aeddd9719db4a541919dffc24311757260584937bc96852abfeb37f1b4467cf4
225,leo-sugarmummy,leo sugarmummy,A middle age wild yankee returnee,Female,Hair: pumpkin. Eyes:blue . Teeth:none . Clothing: leopard skin. Accessories:none . Expression: wild. Strength: none. Weakness: none.,7ec03993-f500-4a41-aa3c-a73df7a0fbed,c3a1603fe8387667fc260561e09bb9e2e71308fcfc26a4764761a9e316e7d018
226,novice-joane,novice joane,A princess worried about finding true love,Female,Hair: pumpkin. Eyes:blue . Teeth:none . Clothing: kente. Accessories: none. Expression:worried . Strength: diligent. Weakness:easily initimidated .,a5d49163-41b1-43fe-ad7f-0c78ef530b1a,218e52cf4baec7762f2b09ad3606398e76f795efadddf0a51780ba4fd6731a8d
227,goofy-simbi,goofy simbi,An eccentric teenager that loves music,Female,Hair: pumpkin. Eyes: blue. Teeth: none. Clothing: ankara. Accessories: none. Expression:indifferent . Strength: none. Weakness: unconventional behaviour .,df7dc588-f99c-4592-84f6-08b40047d9d1,7bcb035f61a5996c38c8c2996bff99d3bfd3d1953fff20a8a6db20051af019d4
228,akwaaba-ghana,akwaaba ghana,A depressed gothic introvert,Female,Hair: purple. Eyes: blue. Teeth: none . Clothing: kente. Accessories:none . Expression: depressed. Strength: none. Weakness:weak .,d1e8b38b-994b-487c-890b-9034d3ab7dcb,94500eb27535b3ca8aa1d72bc3a8975ebdd1942e458c89e5b4f0abb64351636e
229,aunty-toyin,aunty toyin,An oversabi family member,Female,Hair: pumpkin. Eyes: blue. Teeth: none. Clothing:ankara . Accessories:none . Expression: carefree . Strength: audacious. Weakness:none .,1326ef4b-224a-497e-9452-e63a4486e387,eda652ce39ada37ef3463fbe0668cd77a13ca21230ddae8d0c395c34165664c5
230,pretty-hauwa,pretty hauwa,A young bride involved in an early marriage,Female,"Hair: dark brown. Eyes:blue . Teeth:none . Clothing:kente . Accessories:none . Expression:self-sufficient . Strength: diligent, respectful. Weakness:uncritical .",7c771f82-a512-403c-91b9-6736318a8796,25a129f2532286ff11d6742fa1050e1e800d6d15af728742c3dd4c142dd506fc
231,chimamanda-enugu,chimamanda enugu,a young lady born during the war,Female,Hair:brown . Eyes: black. Teeth: none. Clothing:ankara . Accessories:none . Expression:none . Strength:none . Weakness:none .,eaad5c98-3f85-4480-9c4e-b73340cfba4f,bd6668afab20d80f75d627c612b5cd4894bad9e5ad18e552731a9d6250e316a9
232,kente-solape,kente solape,a respectful and diligent princess,Female,Hair:black . Eyes:black . Teeth:none . Clothing:ankara . Accessories:none . Expression:blanch . Strength:bold . Weakness:none .,613ce65c-4b16-43f8-a0d9-b5ea8c5f2195,78716051facfad037ec887d80ab7a1fec4782785bc23c144641914bb5d3477d1
233,vamp-karishika,vamp karishika,Queen of the darkness,Female,Hair:brown . Eyes:black . Teeth:white . Clothing: gele. Accessories:none . Expression:shocked . Strength:tough . Weakness:none .,c4ee8a54-0874-4a7f-8344-dea8ba41f5dc,d0e476697cf0976b079c0224181483c675c870882623dec9a49a7d52310e2da9
234,genz-monique,genz monique,A sassy lady with her own vibe,Female,Hair: pinkish-brown. Eyes:black . Teeth:none . Clothing: ankara. Accessories:none . Expression:despiteful . Strength:none . Weakness:none .,b5328f13-b918-4e76-8d4c-8b4aec5eb5fe,fd011b68e5aa619fa6adab271a2423d5c8bf0a2fb9fb765b5c44347941cdaa0f
235,femi-boltz,femi boltz,A driver hustling his way through life,Male,Hair: black. Eyes:blue . Teeth: none. Clothing:ankara . Accessories:none . Expression:proud . Strength:smart . Weakness:none .,03e8d36d-5bdc-4da4-8f64-c1738eb9d1db,e27764dd18e86df406359c957434dee0ddf51eae3e3afa6a1171866eacd4cf2e
236,agba-tech,agba tech,A tech bro that loves to party but has bad communication skill,Male,Hair: black. Eyes:blue . Teeth: none. Clothing:ankara . Accessories:none . Expression:proud . Strength:smart . Weakness:none .,403f28a0-6aa7-4f80-997f-b0982c169baa,0500d75f4b2aef7e1c8508b4257cbace4cb102ef5001df8c21938a412269dc09
